kanji,story
一,"One down, 2041 to go. ;).","This one is too difficult to remember. If the other Kanji are this difficult, I'm giving up.","One Line to Rule Them All, One Way to Write it; One Stroke From Left to Right, and With a Pen Lift, Bind it."
匂,The aroma of any delicacy is bound up in a spoon.,"The BOUND UP SITTING MAN is going crazy because he can smell the aroma of fresh cinnamon buns, but can't get out of the ropes.",Note that 匂（ におい） means good smell and 臭（におい） 臭 (#128) means bad smell. Story: Cheech/the muchacha (#451) smells the aroma of tacos but he spent all his money on dope.
頃,"An alarm clock with a unique design: You set it for, say, 7:00 am, and at about that time the clock reaches out with a spoon and hits you on the head.",It's about time to sit down and read another page of Remembering the Kanji.,"""About that time"" is a typical expression for a recipe: ""add a pinch of salt after about two minutes."" And since recipes are generally written down on pages and are about preparing something that can be put on a spoon..."
北,"In the north, the weather is so cold that people are often seen sitting back to back to preserve warmth.",Warning: The left part is NOT the primitive turtle! The stroke order is different. Sometimes it will look exactly the same but not always depending on the font / style used to draw this character. Be sure to study the difference!,"Codexus wrote: Warning: The left part is NOT the primitive turtle! The stroke order is different. Sometimes it will look exactly the same but not always depending on the font / style used to draw this character. Be sure to study the difference! My 'story': There are NO turtles at the North Pole. What looks like turtle-backs are actually Igloos, so small you can barely sit inside them."
背,"While japanese people are generally small, people in the northern contryes have taller stature because of all the flesh they eat!","Stature/height has to do with how far ""NORTH""(upward?XD) your FLESH/BODY goes.",Your STATURE is measured from the northern most part of your body.
比,Compare the two spoons... the one on the left is funny-looking.,"STROKE ORDER NOTE: Beware, the horizontal stroke comes first. Actually, the left character is the katakana character ヒ(hi). Story: If you carefully compare hi (ヒ) and spoon (匕) you'll notice their subtle differences.","In the kitchen, compare the taste of the two dishes you're stirring with a spoon in each. Mmm!"
昆,Grandparent spends all DAY COMPARING photos of their DESCENDANTS.,"Japanese people have compared themselves as being descendants of the sun. (Amaterasu, the sun godesss). Sun, comparing = descendants.","Ask a Japanese person what this kanji means, and they will surely spout 昆布 (konbu, seaweed)　and 昆虫 (konchu, insect) - but beyond that they will likely be mystified. Here's my best crack at it: imagine a grandfather watching his DESCENDENTS (grandkids) playing outside under the sun, silently comparing them, considering which of them will grow up and make him proud. Suddenly, grandma calls them in for a snack of 昆布 and for a re-application of repellent to keep the 昆虫 away."
皆,"If you compare colors, you will find that white is produced from the mix of all the others.","All detergents claim that, when comparing to other brands, they produce the whitest laundry. But you can save lots of cash when you realize that they're all ok.","Unfortunately, EVERYONE in Japan compares how WHITE they are (hence, ALL these whitening creams, etc)."
楷,Block letters (as opposed to cursive) are rigid and lifeless like wood; they're all the same size so that all can read them.,"Print-style writing (as opposed to cursive): All print-style writing looks rather wooden to me. I prefer the fancy curves of cursive. (Note: Heisig gives this character the official keyword ""block letters,"" but based on what I've read about the meaning of the character in the Yahoo! Japan Dictionary, I prefer ""print-style writing"").","Literally the block letters on children's blocks, carved into wood so clearly that all can read them."
諧,"harmonious: If a choir is to be harmonious, all the voices need to combine to hit the right notes, and say the right words.","To have orderliness, your words must be in all the right places.","When you say 言 something and everyone 皆 does it, that's orderliness."
混,"People have to mix their fluids (have sex), in order to create descendants.","It was a MIX of elements, happened millions of years ago, that created the first bacterias in the WATER. From them we are DESCENDANTS.","Our WATER DESCENDANTS (i.e., mermaids), are a mix of man and fish."
渇,You awaken from your siesta because you feel extremely thirsty so you go looking for some water.,"If anyone is having difficulty creating stories with the primitive siesta, try changing it to beggar - a beggar sits in his box begging for food/money under a hot sun. I have used beggar as a primitive in several frames and it works like a charm. Here a beggar develops a deep thirst for water as he crouches in his box under the hot sun.","Have some water before you take a siesta, or you will wake up thirsty!"
謁,The talk was so boring the audience took a siesta.,"Note: The keyword meaning is ""Have an audience with . . . (Pope, King, etc)"". Story: When you arrive for your audience with the Pope, he appears to be dozing. His assistant says, ""Sorry about your audience, but you won't get a word out of him while he's having his siesta"".","If you break up SIESTA into tongue wagging in mouth, bound up, sitting man, you have somewhat the image of a prisoner begging. This gives you the general sense of BEGGAR. Using BEGGAR as a primitive is better I think. A 渇 (#488) beggar begs for water. A BEGGAR SPEAKS requesting an audience(to beg for money), a beggar's garments are usually 褐 (#490)(dirty), and beggars sleep so much when they open their mouth, their voice is 喝 (#491). (btw, chinese etymology: the bottom part of siesta means to beg)."
褐,Mexicans use a cloak (pancho) for their siestas. Their color is usually brown.,Why is my package late? Imagine a UPS driver dressed in BROWN garments taking a siesta. What can BROWN do for you?,"The hobbits from ""The Lord of the Rings"" just had to crawl under their brown cloaks and they could take a siesta."
喝,"If you have a siesta with your mouthopen, you will wake up with a hoarse voice.","After taking a siesta, you find that your mouth is hoarse (after all you ARE thirsty remember).","When you are hoarse, it's time for your mouth to have a siesta. (I don't like relating this to thirst, mixed them up a few times)."
葛,"Flower, siesta: The muchacho was not careful. He passed the warning signs and decided to hold a siesta in the kudzu field. The kudzu grew so fast, he was completely covered by it in a few hours and not able to escape. Now, the kudzu flowers mark his grave.",The muchacho takes a siesta under the flowers of the kudzu.,Kudzu is a flowering plant that never takes a siesta...it grows constantly and has already overtaken most of the southeastern United States. Beware the kudzu!
